,averages_muscle_activity,muscle_number,muscle_number_landr,muscles,sclerite_group,sclerite_group_number,wing_list
0,1.82695745387e-16,1,1,b1_right,basalare,1,right
1,3.17565940861e-16,1,-1,b1_left,basalare,1,left
2,-1.03898336309e-16,2,2,b2_right,basalare,1,right
3,1.16285798601e-17,2,-2,b2_left,basalare,1,left
4,-2.17127444497e-16,3,3,b3_right,basalare,1,right
5,-1.38107350929e-16,3,-3,b3_left,basalare,1,left
6,-4.4557109238e-17,1,1,hg1_right,hgs,2,right
7,3.48299832032e-17,1,-1,hg1_left,hgs,2,left
8,6.23253233705e-17,2,2,hg2_right,hgs,2,right
9,1.71321319914e-16,2,-2,hg2_left,hgs,2,left
10,,3,3,hg3_right,hgs,2,right
11,2.29298641807e-17,3,-3,hg3_left,hgs,2,left
12,-1.39830410372e-16,4,4,hg4_right,hgs,2,right
13,,4,-4,hg4_left,hgs,2,left
14,2.9912422378e-17,1,1,i1_right,first_axillary,3,right
15,1.5097868756e-16,1,-1,i1_left,first_axillary,3,left
16,3.11213943123e-17,2,2,i2_right,first_axillary,3,right
17,-1.96577048316e-17,2,-2,i2_left,first_axillary,3,left
18,6.72441651858e-18,1,1,iii1_right,third_axillary,4,right
19,-1.13051205438e-16,1,-1,iii1_left,third_axillary,4,left
20,1.50971726258e-16,3,3,iii3_right,third_axillary,4,right
21,-4.98200643377e-17,3,-3,iii3_left,third_axillary,4,left
