,averages_muscle_activity,muscle_number,muscle_number_landr,muscles,sclerite_group,sclerite_group_number,wing_list
0,-6.64811850373e-16,1,1,b1_right,basalare,1,right
1,8.4549843864e-16,1,-1,b1_left,basalare,1,left
2,7.96139362064e-17,2,2,b2_right,basalare,1,right
3,1.55073843859e-16,2,-2,b2_left,basalare,1,left
4,-3.0684579591e-16,3,3,b3_right,basalare,1,right
5,-3.14901273409e-16,3,-3,b3_left,basalare,1,left
6,-4.18560148389e-17,1,1,hg1_right,hgs,2,right
7,-6.3032592991e-17,1,-1,hg1_left,hgs,2,left
8,-5.26025529454e-17,2,2,hg2_right,hgs,2,right
9,2.00818742886e-16,2,-2,hg2_left,hgs,2,left
10,,3,3,hg3_right,hgs,2,right
11,2.25408813751e-17,3,-3,hg3_left,hgs,2,left
12,6.40045940423e-17,4,4,hg4_right,hgs,2,right
13,,4,-4,hg4_left,hgs,2,left
14,4.71587624766e-18,1,1,i1_right,first_axillary,3,right
15,1.24950050526e-16,1,-1,i1_left,first_axillary,3,left
16,7.15818384176e-17,2,2,i2_right,first_axillary,3,right
17,-4.50363795761e-17,2,-2,i2_left,first_axillary,3,left
18,9.12314206484e-17,1,1,iii1_right,third_axillary,4,right
19,2.52502264433e-16,1,-1,iii1_left,third_axillary,4,left
20,-6.29475093196e-18,3,3,iii3_right,third_axillary,4,right
21,4.46596995925e-16,3,-3,iii3_left,third_axillary,4,left
