,averages_muscle_activity,muscle_number,muscle_number_landr,muscles,sclerite_group,sclerite_group_number,wing_list
0,-1.16310526663e-15,1,1,b1_right,basalare,1,right
1,6.22273156922e-17,1,-1,b1_left,basalare,1,left
2,1.79790343737e-16,2,2,b2_right,basalare,1,right
3,8.40473455709e-17,2,-2,b2_left,basalare,1,left
4,4.72517417093e-16,3,3,b3_right,basalare,1,right
5,-1.95092457121e-16,3,-3,b3_left,basalare,1,left
6,-8.61768697714e-17,1,1,hg1_right,hgs,2,right
7,3.81415107216e-17,1,-1,hg1_left,hgs,2,left
8,7.72102966585e-17,2,2,hg2_right,hgs,2,right
9,-9.89562112236e-17,2,-2,hg2_left,hgs,2,left
10,,3,3,hg3_right,hgs,2,right
11,1.90051262016e-17,3,-3,hg3_left,hgs,2,left
12,1.01864558369e-16,4,4,hg4_right,hgs,2,right
13,,4,-4,hg4_left,hgs,2,left
14,-1.19626652459e-16,1,1,i1_right,first_axillary,3,right
15,2.86267456935e-16,1,-1,i1_left,first_axillary,3,left
16,-4.36465774716e-17,2,2,i2_right,first_axillary,3,right
17,4.7427734475e-17,2,-2,i2_left,first_axillary,3,left
18,2.29171425775e-16,1,1,iii1_right,third_axillary,4,right
19,-1.80076000173e-16,1,-1,iii1_left,third_axillary,4,left
20,-1.93010103592e-17,3,3,iii3_right,third_axillary,4,right
21,-2.55148801845e-16,3,-3,iii3_left,third_axillary,4,left
