,averages_muscle_activity,muscle_number,muscle_number_landr,muscles,sclerite_group,sclerite_group_number,wing_list
0,-4.15249353263e-16,1,1,b1_right,basalare,1,right
1,9.57745536905e-17,1,-1,b1_left,basalare,1,left
2,2.19963563007e-16,2,2,b2_right,basalare,1,right
3,-2.60252052361e-16,2,-2,b2_left,basalare,1,left
4,2.24374313927e-17,3,3,b3_right,basalare,1,right
5,7.9803342789e-16,3,-3,b3_left,basalare,1,left
6,-1.54276351247e-16,1,1,hg1_right,hgs,2,right
7,4.86408473178e-17,1,-1,hg1_left,hgs,2,left
8,7.10843667417e-17,2,2,hg2_right,hgs,2,right
9,6.48328318397e-17,2,-2,hg2_left,hgs,2,left
10,,3,3,hg3_right,hgs,2,right
11,,3,-3,hg3_left,hgs,2,left
12,-1.22783936333e-16,4,4,hg4_right,hgs,2,right
13,4.2490936515e-17,4,-4,hg4_left,hgs,2,left
14,-1.81002162645e-17,1,1,i1_right,first_axillary,3,right
15,-4.12435682137e-17,1,-1,i1_left,first_axillary,3,left
16,3.56488193429e-17,2,2,i2_right,first_axillary,3,right
17,2.24104745365e-16,2,-2,i2_left,first_axillary,3,left
18,-2.70360928939e-16,1,1,iii1_right,third_axillary,4,right
19,-3.37434367783e-17,1,-1,iii1_left,third_axillary,4,left
20,4.0487533343e-16,3,3,iii3_right,third_axillary,4,right
21,-3.77572630237e-17,3,-3,iii3_left,third_axillary,4,left
