,averages_muscle_activity,muscle_number,muscle_number_landr,muscles,sclerite_group,sclerite_group_number,wing_list
0,1.13133952903e-15,1,1,b1_right,basalare,1,right
1,6.02551561746e-17,1,-1,b1_left,basalare,1,left
2,1.58393468948e-16,2,2,b2_right,basalare,1,right
3,4.15090329045e-16,2,-2,b2_left,basalare,1,left
4,-2.76351631186e-16,3,3,b3_right,basalare,1,right
5,1.6828567496e-16,3,-3,b3_left,basalare,1,left
6,2.96525445025e-18,1,1,hg1_right,hgs,2,right
7,-1.63111699856e-16,1,-1,hg1_left,hgs,2,left
8,-4.13278013362e-17,2,2,hg2_right,hgs,2,right
9,1.35454048684e-16,2,-2,hg2_left,hgs,2,left
10,,3,3,hg3_right,hgs,2,right
11,,3,-3,hg3_left,hgs,2,left
12,1.29132169355e-16,4,4,hg4_right,hgs,2,right
13,,4,-4,hg4_left,hgs,2,left
14,-3.63559863935e-17,1,1,i1_right,first_axillary,3,right
15,-7.00562422724e-17,1,-1,i1_left,first_axillary,3,left
16,-6.9926742158e-17,2,2,i2_right,first_axillary,3,right
17,1.29092077583e-17,2,-2,i2_left,first_axillary,3,left
18,2.19477098957e-16,1,1,iii1_right,third_axillary,4,right
19,1.52506104229e-17,1,-1,iii1_left,third_axillary,4,left
20,-1.8082035714e-16,3,3,iii3_right,third_axillary,4,right
21,-7.74954545274e-17,3,-3,iii3_left,third_axillary,4,left
